MMSI,IMO,STATUS,SPEED,LON,LAT,COURSE,HEADING,TIMESTAMP,SHIP_ID
316035891,9780768,0,82,-52.648580,46.281140,268,270,2020-11-22T09:08:00,5149482
316035891,9780768,0,104,-52.898010,46.276030,268,270,2020-11-22T10:08:00,5149482
316035891,9780768,0,103,-53.136570,46.280820,270,272,2020-11-22T11:08:00,5149482
316035891,9780768,0,103,-53.381140,46.284780,270,272,2020-11-22T12:08:00,5149482
316035891,9780768,0,101,-53.624650,46.285160,269,270,2020-11-22T13:07:00,5149482
316035891,9780768,0,101,-53.865390,46.294050,281,281,2020-11-22T14:07:00,5149482
316035891,9780768,0,104,-54.081800,46.375800,301,299,2020-11-22T15:07:00,5149482
316035891,9780768,0,106,-54.293210,46.468340,303,301,2020-11-22T16:06:00,5149482
316035891,9780768,0,78,-54.026110,47.595030,349,350,2020-11-23T00:42:00,5149482
316035891,9780768,0,64,-54.050440,47.706700,351,352,2020-11-23T01:43:00,5149482
316035891,9780768,1,0,-54.176200,47.720170,140,196,2020-11-23T03:48:00,5149482
316035891,9780768,1,2,-54.174410,47.719230,144,244,2020-11-23T04:48:00,5149482
316035891,9780768,1,0,-54.175570,47.716540,254,347,2020-11-23T05:50:00,5149482
316035891,9780768,1,0,-54.176680,47.716430,233,359,2020-11-23T06:51:00,5149482
316035891,9780768,1,0,-54.176010,47.716440,65,338,2020-11-23T07:51:00,5149482
316035891,9780768,1,0,-54.175630,47.716480,273,341,2020-11-23T08:54:00,5149482
316035891,9780768,1,0,-54.176240,47.716420,263,358,2020-11-23T09:54:00,5149482
316035891,9780768,1,0,-54.176800,47.716410,257,3,2020-11-23T10:54:00,5149482
316035891,9780768,1,0,-54.177300,47.716470,267,15,2020-11-23T12:05:00,5149482
316035891,9780768,1,0,-54.178030,47.716630,284,29,2020-11-23T13:06:00,5149482
316035891,9780768,1,0,-54.178650,47.717110,286,49,2020-11-23T14:05:00,5149482
316035891,9780768,1,0,-54.179240,47.717510,342,66,2020-11-23T15:08:00,5149482
316035891,9780768,1,0,-54.179480,47.718020,347,80,2020-11-23T16:11:00,5149482
316035891,9780768,1,1,-54.179210,47.719510,30,133,2020-11-23T17:11:00,5149482
316035891,9780768,1,1,-54.177880,47.720690,69,169,2020-11-23T18:14:00,5149482
316035891,9780768,1,0,-54.176750,47.721120,79,181,2020-11-23T19:20:00,5149482
316035891,9780768,1,0,-54.176670,47.721200,304,173,2020-11-23T20:20:00,5149482
316035891,9780768,1,1,-54.176440,47.721260,86,188,2020-11-23T21:24:00,5149482
316035891,9780768,1,0,-54.176160,47.721310,296,184,2020-11-23T22:23:00,5149482
316035891,9780768,1,0,-54.176270,47.721320,266,180,2020-11-23T23:24:00,5149482
316035891,9780768,1,0,-54.176200,47.721310,210,184,2020-11-24T00:24:00,5149482
316035891,9780768,1,0,-54.176110,47.721310,85,191,2020-11-24T01:23:00,5149482
316035891,9780768,1,0,-54.176270,47.721340,273,180,2020-11-24T02:38:00,5149482
316035891,9780768,1,0,-54.176190,47.722620,290,180,2020-11-24T03:42:00,5149482
316035891,9780768,1,0,-54.176280,47.722670,60,182,2020-11-24T04:42:00,5149482
316035891,9780768,1,0,-54.175980,47.722460,124,180,2020-11-24T05:43:00,5149482
316035891,9780768,1,0,-54.175840,47.722350,178,180,2020-11-24T06:47:00,5149482
316035891,9780768,1,0,-54.175830,47.722340,169,180,2020-11-24T07:48:00,5149482
316035891,9780768,1,0,-54.175830,47.722350,178,180,2020-11-24T08:47:00,5149482
316035891,9780768,1,0,-54.177540,47.722310,309,170,2020-11-24T09:47:00,5149482
316035891,9780768,1,0,-54.177520,47.722390,164,179,2020-11-24T10:47:00,5149482
316035891,9780768,1,0,-54.177660,47.722270,238,154,2020-11-24T11:48:00,5149482
316035891,9780768,1,0,-54.177650,47.722310,131,160,2020-11-24T12:48:00,5149482
316035891,9780768,1,0,-54.177510,47.722350,84,170,2020-11-24T13:56:00,5149482
316035891,9780768,1,0,-54.176900,47.722410,87,174,2020-11-24T14:56:00,5149482
316035891,9780768,1,0,-54.176680,47.722410,71,178,2020-11-24T16:00:00,5149482
316035891,9780768,1,1,-54.174500,47.722060,106,202,2020-11-24T17:00:00,5149482
316035891,9780768,1,1,-54.173100,47.721640,116,227,2020-11-24T18:14:00,5149482
316035891,9780768,1,0,-54.172530,47.721350,109,231,2020-11-24T19:14:00,5149482
316035891,9780768,1,0,-54.172330,47.721260,136,237,2020-11-24T20:17:00,5149482
316035891,9780768,1,0,-54.172360,47.721320,323,228,2020-11-24T21:18:00,5149482
316035891,9780768,1,1,-54.171670,47.720210,137,241,2020-11-24T22:18:00,5149482
316035891,9780768,1,0,-54.172060,47.720330,156,230,2020-11-24T23:48:00,5149482
316035891,9780768,1,0,-54.171960,47.720220,155,240,2020-11-25T00:48:00,5149482
316035891,9780768,1,0,-54.171740,47.719940,144,244,2020-11-25T01:50:00,5149482
316035891,9780768,1,0,-54.171550,47.719730,161,245,2020-11-25T02:53:00,5149482
316035891,9780768,1,0,-54.171540,47.719710,140,245,2020-11-25T03:54:00,5149482
316035891,9780768,1,3,-54.171150,47.719300,200,264,2020-11-25T05:00:00,5149482
316035891,9780768,1,1,-54.171390,47.718160,319,284,2020-11-25T06:06:00,5149482
316035891,9780768,1,1,-54.171670,47.717810,228,291,2020-11-25T07:08:00,5149482
316035891,9780768,1,0,-54.172200,47.717120,269,310,2020-11-25T08:13:00,5149482
316035891,9780768,1,2,-54.172820,47.716980,293,315,2020-11-25T09:19:00,5149482
316035891,9780768,1,0,-54.172440,47.717020,44,312,2020-11-25T10:19:00,5149482
316035891,9780768,1,0,-54.172870,47.716790,160,321,2020-11-25T11:26:00,5149482
316035891,9780768,1,0,-54.172630,47.716880,47,315,2020-11-25T12:29:00,5149482
316035891,9780768,1,0,-54.173150,47.716510,106,327,2020-11-25T13:29:00,5149482
316035891,9780768,1,0,-54.173480,47.716410,129,331,2020-11-25T14:43:00,5149482
316035891,9780768,1,2,-54.173060,47.716640,236,323,2020-11-25T15:48:00,5149482
316035891,9780768,1,0,-54.177950,47.717290,318,48,2020-11-25T16:51:00,5149482
316035891,9780768,1,0,-54.177850,47.717280,159,33,2020-11-25T18:00:00,5149482
316035891,9780768,1,0,-54.177490,47.717170,132,24,2020-11-25T19:03:00,5149482
316035891,9780768,1,0,-54.177040,47.717050,94,15,2020-11-25T20:03:00,5149482
316035891,9780768,1,1,-54.174850,47.716880,77,321,2020-11-25T21:11:00,5149482
316035891,9780768,1,0,-54.172360,47.717720,45,280,2020-11-25T22:11:00,5149482
316035891,9780768,1,1,-54.172250,47.717480,209,297,2020-11-25T23:11:00,5149482
316035891,9780768,1,1,-54.173600,47.716640,233,336,2020-11-26T00:14:00,5149482
316035891,9780768,1,0,-54.174690,47.716330,243,344,2020-11-26T01:17:00,5149482
316035891,9780768,1,0,-54.174700,47.716340,97,341,2020-11-26T02:23:00,5149482
